Date,Open,High,Low,Close,Adj Close,Volume
2014-07-25,399.799988,401.799988,394.269989,397.149994,386.534149,4277980
2014-07-28,403.450012,407.350006,393.600006,395.350006,384.782257,5838272
2014-07-30,399.899994,403.700012,392.149994,401.700012,390.962524,3945078
2014-07-31,402.000000,403.350006,390.049988,391.649994,381.181122,5899359
2014-08-01,388.000000,397.000000,384.899994,387.000000,376.655457,4556225
2014-08-04,391.700012,394.250000,387.200012,390.850006,380.402527,3189855
2014-08-05,392.500000,395.500000,386.850006,392.950012,382.446442,4565734
2014-08-06,392.000000,392.049988,382.200012,383.200012,372.957031,3328178
2014-08-07,380.049988,386.549988,380.049988,381.100006,370.913177,3629281
2014-08-08,375.000000,377.299988,369.049988,371.000000,361.083130,4082447
2014-08-11,374.000000,377.899994,372.600006,376.750000,366.679443,2245416
2014-08-12,377.000000,383.149994,374.549988,381.850006,371.643097,2849902
2014-08-13,378.149994,380.649994,372.000000,373.899994,363.905609,2422893
2014-08-14,373.500000,379.450012,371.000000,377.799988,367.701355,2695108
2014-08-18,377.799988,396.500000,375.850006,394.700012,384.149628,5628495
2014-08-19,397.299988,401.899994,395.250000,397.850006,387.215424,4398164
2014-08-20,398.399994,398.899994,392.350006,394.200012,383.662994,2593423
2014-08-21,394.799988,402.149994,393.100006,398.649994,387.994019,4041960
2014-08-22,400.000000,405.000000,400.000000,402.799988,392.033112,3805460
2014-08-25,402.500000,407.350006,397.700012,398.750000,388.091370,3188868
2014-08-26,391.000000,400.250000,390.000000,397.600006,386.972107,2960035
2014-08-27,399.049988,402.549988,396.649994,398.750000,388.091370,2117053
2014-08-28,399.500000,401.899994,392.149994,397.250000,386.631470,3524112
2014-09-01,398.950012,406.899994,397.500000,405.399994,394.563599,3827810
2014-09-02,407.000000,411.799988,406.299988,409.250000,398.310699,3827990
2014-09-03,411.000000,414.899994,408.100006,413.700012,402.641785,3913893
2014-09-04,411.399994,417.350006,409.000000,416.399994,405.269592,3577070
2014-09-05,416.000000,419.250000,413.700012,415.950012,404.831604,3236260
2014-09-08,417.649994,423.450012,414.750000,420.750000,409.503296,2644489
2014-09-09,420.700012,422.000000,415.750000,418.700012,407.508118,2014481
2014-09-10,419.000000,419.000000,414.549988,416.500000,405.366913,1554785
2014-09-11,418.399994,423.799988,416.149994,418.500000,407.313416,2920679
2014-09-12,418.000000,419.750000,414.149994,416.950012,405.804901,2314502
2014-09-15,414.899994,414.899994,409.700012,411.649994,400.646545,1665845
2014-09-16,411.000000,414.000000,397.350006,399.149994,388.480682,3811175
2014-09-17,401.000000,402.700012,395.649994,397.950012,387.312744,2328500
2014-09-18,395.600006,406.399994,393.799988,405.299988,394.466309,3458236
2014-09-19,407.700012,410.899994,398.200012,407.649994,396.753479,4701389
2014-09-22,403.799988,412.000000,402.049988,408.200012,397.288788,2407552
2014-09-23,407.000000,409.649994,398.100006,399.100006,388.432037,2235528
2014-09-24,399.000000,400.899994,393.149994,397.000000,386.388123,3007551
2014-09-25,394.500000,395.350006,375.250000,377.850006,367.750031,6647739
2014-09-26,375.000000,391.799988,370.250000,389.549988,379.137299,6000406
2014-09-29,391.700012,391.700012,384.500000,386.049988,375.730804,3209235
2014-09-30,385.000000,385.649994,376.450012,377.700012,367.604065,4660370
2014-10-01,375.600006,381.500000,374.000000,379.950012,369.793915,3024329
2014-10-07,377.500000,384.950012,372.299988,373.600006,363.613647,3348273
2014-10-08,372.750000,380.250000,372.350006,379.000000,368.869293,3182969
2014-10-09,381.000000,389.799988,381.000000,387.399994,377.044769,3069354
2014-10-10,384.000000,384.250000,377.549988,379.200012,369.063965,2560762
2014-10-13,375.950012,389.000000,373.000000,386.899994,376.558105,2666892
2014-10-14,389.200012,400.700012,387.549988,397.100006,386.485474,4935617
2014-10-15,397.100006,397.100006,397.100006,397.100006,386.485474,0
2014-10-16,395.000000,402.450012,390.250000,393.649994,383.127686,4382823
2014-10-17,395.899994,405.000000,394.549988,401.600006,390.865204,4816107
2014-10-20,413.850006,419.399994,410.000000,417.850006,406.680847,6484171
2014-10-21,419.000000,424.799988,418.000000,423.049988,411.741791,3970498
2014-10-22,427.000000,427.899994,419.750000,424.450012,413.104401,2526798
2014-10-27,424.600006,428.950012,420.350006,426.799988,415.391602,2876993
2014-10-28,427.200012,430.600006,422.600006,424.200012,412.861115,1995946
2014-10-29,426.950012,429.000000,422.500000,425.549988,414.174988,1931522
